epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,2476.89,0.77289,1.50891,1.61867,1.00846,0,0.30043,0.25208,0.18511,0.13955,0.30646,0.25168,0.18822,0.12915,0.81477,1.77405,1.99226,1.05441,0,5.71e-05,5.71e-05,5.71e-05
28,2785.28,0.76653,1.4877,1.58254,1.00213,0,0.3107,0.24554,0.18336,0.13825,0.31327,0.24701,0.18614,0.12789,0.82637,1.7941,2.0142,1.05669,0,5.545e-05,5.545e-05,5.545e-05
29,3093.72,0.76582,1.48643,1.56784,1.00152,0,0.32145,0.24675,0.18798,0.14051,0.32485,0.2477,0.19058,0.13079,0.83214,1.79865,1.998,1.05134,0,5.38e-05,5.38e-05,5.38e-05
30,3404.17,0.76289,1.47738,1.57099,1.00259,0,0.30929,0.24985,0.1863,0.13944,0.31442,0.2481,0.18842,0.12869,0.8349,1.79943,2.02513,1.05629,0,5.215e-05,5.215e-05,5.215e-05
31,3711.99,0.75722,1.46239,1.52776,0.99707,0,0.31214,0.24392,0.18724,0.14133,0.31356,0.24518,0.18833,0.12983,0.82522,1.83898,2.04922,1.05405,0,5.05e-05,5.05e-05,5.05e-05
32,4022.62,0.75967,1.45869,1.50688,0.99637,0,0.29743,0.25254,0.18337,0.13708,0.29825,0.25267,0.18613,0.12565,0.8324,1.79487,2.02552,1.05483,0,4.885e-05,4.885e-05,4.885e-05
33,4329.19,0.7575,1.46188,1.50506,0.99664,0,0.30516,0.24675,0.18665,0.14037,0.31388,0.24485,0.18907,0.12964,0.82214,1.80693,2.02925,1.05578,0,4.72e-05,4.72e-05,4.72e-05
34,4639.83,0.75345,1.4447,1.48713,0.99401,0,0.32371,0.24722,0.18518,0.13863,0.32602,0.24859,0.18854,0.12747,0.83847,1.81835,2.01084,1.06162,0,4.555e-05,4.555e-05,4.555e-05
35,4945.33,0.75275,1.4405,1.46502,0.99183,0,0.3168,0.24415,0.18881,0.14076,0.31881,0.2459,0.19144,0.12987,0.83996,1.84216,2.02674,1.06177,0,4.39e-05,4.39e-05,4.39e-05
36,5251.6,0.74576,1.42985,1.44394,0.99126,0,0.30632,0.24855,0.18734,0.13993,0.30793,0.25087,0.18995,0.12866,0.84297,1.8503,2.039,1.06542,0,4.225e-05,4.225e-05,4.225e-05
37,5560.43,0.74619,1.44107,1.43482,0.98915,0,0.31381,0.24584,0.1851,0.13801,0.31785,0.24681,0.18593,0.12717,0.84093,1.84834,2.05788,1.06539,0,4.06e-05,4.06e-05,4.06e-05
