epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,7921.1,0.95393,1.87333,2.13161,1.06988,0,0.25685,0.20836,0.1417,0.10063,0.26284,0.20744,0.14326,0.09199,0.94285,1.97364,2.17418,1.07391,0,0.00013555,0.00013555,0.00013555
29,8204.99,0.94344,1.85703,2.10943,1.07047,0,0.26198,0.20719,0.14166,0.1015,0.26465,0.20525,0.14283,0.09207,0.93049,1.99075,2.20168,1.07008,0,0.000133718,0.000133718,0.000133718
30,8489,0.93966,1.84659,2.10337,1.06906,0,0.26433,0.20304,0.13889,0.09852,0.26321,0.20277,0.13872,0.08818,0.95532,2.00717,2.24178,1.08294,0,0.000131886,0.000131886,0.000131886
31,8774.73,0.93931,1.85503,2.06943,1.06459,0,0.25623,0.20526,0.14085,0.10087,0.25107,0.20568,0.14128,0.09076,0.94472,1.98881,2.22455,1.07549,0,0.000130055,0.000130055,0.000130055
32,9056.29,0.93982,1.84005,2.06903,1.06552,0,0.26105,0.21768,0.14132,0.09959,0.26546,0.2198,0.14264,0.09035,0.939,1.95289,2.17523,1.07444,0,0.000128223,0.000128223,0.000128223
33,9335.54,0.94581,1.85128,2.04467,1.06539,0,0.27596,0.21416,0.14477,0.1028,0.27931,0.21505,0.14713,0.09389,0.9287,1.95835,2.16042,1.07342,0,0.000126392,0.000126392,0.000126392
34,9616.43,0.94094,1.83857,2.0364,1.06415,0,0.27958,0.21746,0.1446,0.1021,0.28525,0.21894,0.14539,0.09305,0.9372,1.96434,2.17254,1.07734,0,0.00012456,0.00012456,0.00012456
35,9901.16,0.92998,1.82602,2.03763,1.06109,0,0.27736,0.21105,0.14362,0.10266,0.27803,0.21071,0.14432,0.09308,0.93714,1.97506,2.21513,1.07237,0,0.000122729,0.000122729,0.000122729
36,10184,0.93887,1.82773,2.02178,1.06153,0,0.26737,0.21216,0.14486,0.10295,0.27,0.21225,0.14637,0.09309,0.95043,1.98141,2.1659,1.07973,0,0.000120897,0.000120897,0.000120897
37,10463.2,0.92969,1.81675,1.98544,1.05714,0,0.27388,0.21798,0.1454,0.10227,0.27623,0.21729,0.14645,0.09226,0.94035,1.96676,2.14499,1.07532,0,0.000119066,0.000119066,0.000119066
